Location,Reviews,Rating
KFC 1524 S Salina St,489,3.1
KFC 3406 Erie Blvd,613,3.2
3530 W. Victory Blvd,353,3.7
745 Carlsbad Village Drive,263,3.5
1980 E. 20th Street,634,3.9
KFC 1860 Ashlan Avenue,296,3.8
KFC 198 West Shaw Avenue,597,3.6
4660 Clayton Road,264,3.4
KFC 1151 W 6th St,364,3.7
KFC 1300 E. Ontario Avenue,295,3.3
465 E 17th St,304,3.8
KFC 2815 Geneva Avenue,176,3.3
KFC 287 Westmoor Ave,267,3.4
KFC 7199 Mission Street,264,3.9
7865 East Florence Avenue,241,3.6
KFC 2949 Jamacha Road,212,3.8
KFC 555 N 2nd St,629,3.8
KFC 724 Fletcher Pky,607,3.7
3814 North Peck Road,371,4
KFC 2330 Longport Court,164,2.9
KFC 8579 Elk Grove Boulevard,172,3.8
KFC 2429 East Valley Parkway,297,3.6
KFC 639 N. Broadway,367,3.9
2263 N. Texas Street,559,3.5
KFC 150 W. Orangethorpe Ave,255,3.6
KFC 1889 West Malvern Ave,157,3.7
KFC 12042 Valley View Blvd,233,3.7
KFC 12861 Harbor Blvd,337,3.7
KFC 8971 Westminster Ave,324,3.7
200 N Verdugo Rd,351,3.7
KFC 1299 West Tennyson Road,504,3.6
KFC 31077 Mission Boulevard,131,3.4
16800 Main Street,403,3.8
KFC 19091 Brookhurst Street,169,3.9
KFC 6100 West Warner Avenue,31,3
KFC 8142 Talbert Ave,321,3.5
2941 West Imperial Hwy,465,3.3
KFC 1827 E. Ave. J,561,3.4
"KFC 43559 10th Street, West",830,3.5
KFC 866 W Avenue I,498,3.3
40702 California Oaks Road,494,3.6
KFC 10905 Imperial Highway,481,3.4
KFC 10937 Alondra Blvd,272,4
KFC 12959 Rosecrans Avenue,391,3.6
KFC 3400 Foothill Boulevard,234,3.6
KFC 3734 Macarthur Boulevard,192,3.3
KFC 6035 Telegraph Road,248,3.3
KFC 7272 East 14th Street,297,3.3
KFC 950 Market Street,524,3.2
KFC 9825 East 14th Street,270,3.6
KFC 2007 Mission Ave,134,3.8
KFC 3747 Mission Avenue,279,3.4
KFC 4100 Oceanside Blvd,183,3.5
KFC 1108 W. Mission Blvd,466,3.3
KFC 2454 South Archibald Ave,261,3.5
KFC 4371 Ontario Mills Parkway,427,2.9
KFC 2469 N. Tustin Street,232,3.9
KFC 708 N. Tustin St,263,3.6
KFC 191 W. Gonzales Road,520,3.8
KFC 3351 Saviers Road,193,3.5
2351 E. Avenue S,1045,3.4
KFC 2050 Fair Oaks Boulevard,254,3.5
KFC 2896 E. Colorado Blvd,222,3.7
KFC 820 North Lake Avenue,236,3.8
KFC 2294 N. Garey Avenue,448,3.8
KFC 375 E. Mission Blvd,372,3.8
KFC 11425 Baseline Road,353,3.3
KFC 8140 Vineyard Ave,422,3.5
223 E Foothill Blvd,619,3.9
KFC 12319 San Pablo Avenue,497,3.4
KFC 15555 San Pablo Ave,142,3.3
KFC 10061 Magnolia Ave,610,3.5
KFC 5225 Canyon Crest Dr,550,3.1
KFC 6221 Van Buren Blvd,562,3.6
KFC 7970 Limonite Ave,618,3.5
KFC 1501 Meadowview Road,379,3.6
KFC 2128 Sutterville Road,391,3
KFC 2312 Arden Way,509,3.4
KFC 2920 Del Paso Road,528,3
KFC 3551 Bradshaw Rd,472,3.5
KFC 3580 Northgate Boulevard,442,3.8
KFC 3820 Florin Road,232,3.2
KFC 4219 Marconi Ave,385,3.1
KFC 5835 Madison Avenue,387,3.5
KFC 6099 Stockton Boulevard,362,3.5
KFC 7821 Alta Valley Drive,352,3.4
KFC 8335 Elk Grove Florin Road,149,3.7
KFC 1209 South Main Street,294,3.1
KFC 2040 North Main Street,445,3.5
KFC 700 East Alisal Street,285,3.6
1353 El Camino Real,384,3.7
2207 South Broadway,735,3.9
KFC 2249 Santa Rosa Ave,340,3.4
KFC 3205 Cleveland Avenue,291,3.3
KFC 401 Stony Point Road,254,3.7
1595 E. Los Angeles Avenue,360,3.6
KFC 1065 East El Camino Real,310,3.8
KFC 1695 Hollenbeck Road,127,3.2
KFC 340 West Maude Avenue,256,3.7
32425 Hwy 79,253,3.5
3605 E Thousand Oaks Blvd,296,3.8
KFC 16502 South Crenshaw Boulevard,424,3.7
KFC 2215 Sepulveda Blvd,294,3.6
KFC 4525 Torrance Blvd,384,3.3
980 Alamo Drive,433,3.7
KFC 1300 Georgia Street,394,3.3
KFC 2150 Redwood Street,338,3.2
3553 Telegraph Rd,510,3.4
KFC 12125 Mariposa Road,704,3.7
KFC 14284 Outer 7th Street,827,4
KFC 1699 East Noble Avenue,593,3.9
KFC 5143 W. Walnut,546,3.8
KFC 19080 La Puente Road,329,4.1
KFC 555 South Glendora Avenue,429,3.9
KFC 1350 E New York St,367,3.3
KFC 2240 W Galena Blvd,411,3.5
KFC 294 South Randall Road,357,3.4
KFC 465 Dundee Ave,354,3.4
116 N Larkin Avenue,591,3.6
KFC 2231 West Glen,540,3
KFC 603 North Western Avenue,342,3.2
KFC 8905 N. Allen Road,377,2.9
KFC 1502 Kilburne,432,3.2
KFC 3035 South 11th Street,555,3.1
KFC 1111 North 9th Street,363,3.1
KFC 1850 West Jefferson,345,3.1
KFC 3150 South 6th Street,632,2.9
KFC 1301 North Judge Ely Blvd,682,4
KFC 4335 S 1st Street,273,3.9
200 N. Greenville Ave,397,3.4
KFC 3930 Eastex Fwy,105,3.4
KFC 8090 College Street,603,3.4
KFC 2701 Boca Chica Boulevard,798,4.1
KFC 3565 W. Alton Gloor Blvd,582,3.7
KFC 2636 Midway Rd,516,3.5
KFC 4117 North Josey Lane,295,3.2
2501 Texas Avenue,436,3.6
KFC 1516 Teasley Ln,461,3.4
KFC 315 W. University Dr,630,3.1
KFC 2411 South Highway 281,700,4
KFC 4101 S McColl Road,94,4.3
KFC 2559 Sara Jane Parkway,565,3.8
KFC 2801 NE Green Oaks Blvd,569,3.6
KFC 301 W. Highway 303,394,3.5
KFC 1912 East Veterans Memorial Boulevard,1018,3.3
KFC 3408 West Stan Schlueter Loop,398,3.2
707 Nolana,772,4.1
KFC 2118 N Galloway Ave,576,3.3
KFC 4400 Gus Thomasson Rd,376,3.6
KFC 1814 N. Midland Drive,482,2.9
KFC 4727 N. Midkiff Drive,235,2
KFC 1520 John Ben Shepperd Parkway,877,2.6
"KFC 1713 N. County Road, W",530,2.6
KFC 5449 Fairmont Pkwy,435,3.8
KFC 6839 Spencer Highway,238,3.5
KFC 802 W Southmore Ave,486,3.7
KFC 10034 Broadway Street,391,3.2
KFC 2002 Main St,201,3.5
1776 E Belt Line Rd,515,3.1
KFC 404 W Palm Valley Blvd,665,3.2
KFC 641 Louis Henna Blvd,459,3.4
KFC 3501 Highway 6,428,3.5
KFC 4950 Highway 90A,197,3.2
KFC 3630 Troup Highway,660,3.7
KFC 450 S Southeast Loop 323,22,2.8
KFC 6901 South Broadway,440,3.4
1030 N. Valley Mills Road,786,3.4
2810 Central Freeway,454,2.9
682 S. Watson Rd,576,2.7
16980 W. Yuma Road,167,2.4
KFC 12621 W Bell Rd,627,2.6
KFC 15154 N. Cotton Lane,82,1.8
705 W Baseline Rd,778,3.1
1833 S. 4th Street,1060,3.9